ResidentDate,Total_Admissions,ResidentDate_year,ResidentDate_month,ResidentDate_day,ResidentDate_weekday,is_weekend,season,temperature_max,temperature_min,temp_range,precipitation,is_rain,Festival,pandemic_flag,disaster_flag,Total_Admissions_Lag1,Total_Admissions_Lag7,Total_Admissions_MA7,Total_Admissions_MA14,Total_Admissions_EMA,Total_Admissions_Rolling_Std,Total_Admissions_Rolling_Min,Total_Admissions_Rolling_Max
2021-09-28,58,2021,9,28,1,0,4,32.7,26.6,6.100000000000001,58.0,1,0,0,0,54.0,48.0,57.857142857142854,58.785714285714285,57.40893146910548,2.4102953780637266,54.0,61.0
2021-09-29,66,2021,9,29,2,0,4,31.7,26.3,5.399999999999999,0.0,0,0,0,0,58.0,56.0,59.285714285714285,57.857142857142854,59.55669860182911,3.728908942942026,54.0,66.0
2021-09-30,64,2021,9,30,3,0,4,30.3,25.4,4.900000000000002,729.6,1,0,0,0,66.0,60.0,59.857142857142854,58.357142857142854,60.667523951371834,4.14039335605303,54.0,66.0
2021-10-01,49,2021,10,1,4,0,4,30.5,25.2,5.300000000000001,494.9,1,0,0,0,64.0,61.0,58.142857142857146,57.642857142857146,57.750642963528875,5.756983337030654,49.0,66.0
2021-10-02,57,2021,10,2,5,1,4,29.4,25.7,3.6999999999999993,627.0,1,1,0,0,49.0,59.0,57.857142857142854,58.57142857142857,57.56298222264665,5.756983337030661,49.0,66.0
2021-10-03,59,2021,10,3,6,1,4,30.0,25.6,4.399999999999999,212.4,1,1,0,0,57.0,57.0,58.142857142857146,57.714285714285715,57.922236666984986,5.756983337030654,49.0,66.0
2021-10-04,65,2021,10,4,0,0,4,30.2,25.9,4.300000000000001,58.5,1,0,0,0,59.0,54.0,59.714285714285715,58.07142857142857,59.69167750023874,5.936168397045877,49.0,66.0
2021-10-05,54,2021,10,5,1,0,4,27.4,25.3,2.099999999999998,1657.8,1,0,0,0,65.0,58.0,59.142857142857146,58.5,58.268758125179055,6.309478885733351,49.0,66.0
2021-10-06,64,2021,10,6,2,0,4,31.0,25.3,5.699999999999999,435.2,1,0,0,0,54.0,66.0,58.857142857142854,59.07142857142857,59.70156859388429,5.9841059323440335,49.0,65.0
2021-10-07,66,2021,10,7,3,0,4,30.5,26.2,4.300000000000001,184.79999999999998,1,1,0,0,64.0,64.0,59.142857142857146,59.5,61.27617644541321,6.309478885733351,49.0,66.0
